Sample Name	10H	11H	13H	14H	15H	16H	17H	18H	19H	20H	21H	22H	23H	24H	25H	26H	27H	28H	29H	30H	31H	32H	33H	34H	35H	36H	37H	38H	39H	40H	41H	42H	43H	44H	45H	46H	47H	48H	49H	50H	51H	52H	53H	54H	55H	56H	57H	58H	59H	60H	61H	62H	63H	64H	65H	66H	67H	68H	70H	71H	72H	73H	74H	75H	76H	77H	78H	80H	81H	82H	83H	84H	85H	86H	87H	88H
ATP (505.9 / 79.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Azelaic acid (187.0 / 125.0)	1393413	1254481	2284404	870925	649804	777143	738595	515945	517026	546773	1458017	1172581	888643	569481	544223	515580	574082	444449	710272	743941	800229	808136	599039	656076	515652	568573	696817	498090	524177	612519	804592	589121	1087696	539620	906720	833142	589174	961760	878010	840166	869891	975282	1071655	1585518	530469	421308	1065386	962583	1030337	763579	1017231	1346952	1086697	1276583	571463	833727	2641962	895348	1033121	310087	666552	889182	533758	710613	934905	363442	827411	815128	479476	692185	789514	372827	815491	474917	765312	485889
Benzoic acid (121.0 / 77.0 (2))	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Beta-Hydroxybutyrate (103.0 / 59.0)	568347	587347	670375	286463	249954	306332	289196	233972	160345	218496	706762	745769	856427	190319	342999	268719	264737	160676	494593	285943	289391	295835	258971	361690	210580	234243	299132	234636	275269	326952	333144	383203	273023	237923	245261	281183	357160	295108	319545	262118	360256	747367	403480	356074	425529	240164	183493	463462	419544	160129	706085	660725	447896	487608	192465	175883	282944	283964	318858	293789	369404	386326	316682	191352	213789	228616	266450	199049	418679	406800	399721	205439	263925	221962	168532	303166
Betaine (118.0 / 58.0)	2323112	1150726	1548507	2949488	2276419	2681622	2797185	3783187	2726095	2240208	1893777	1176923	2459167	2416005	3117542	2970226	3600986	2944553	2004170	3500216	2244152	3777468	2197327	2381970	2932812	2374591	2956477	2978269	2316479	2017506	1599767	1714157	1424849	2146781	2370547	2369699	2430741	2616546	2708191	2138206	846306	1867422	1507642	1193693	2244764	2490140	1809467	1716171	1762298	2986306	1611275	1800082	1198009	1352641	2404579	2527773	6245824	2630506	2682898	2614438	1957127	4469189	2300615	2300471	3731484	2629330	3113614	2878776	2544804	2389925	2599730	2741077	1593814	2409999	1932830	2391023
Biotin (243.1 / 200.0) (150.1 / 61.0)	188983	185259	123618	159431	155459	138506	118457	215556	166916	86043	246895	188987	184511	117983	148288	152229	173834	141547	135841	46936	60539	45942	29729	35941	183795	162466	154464	112408	132890	37862	32061	15995	20872	29173	140341	203141	145771	153744	114235	124416	126980	395596	212305	284448	122923	120692	87399	183309	307703	156451	371905	287973	191882	249330	108770	101321	79963	157196	149995	43399	126902	47905	112718	87416	89148	84436	71520	83441	68785	49913	37765	72764	74232	73260	72018	72515
Cadaverine (103.0 / 86.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carnitine (162.1 / 85.0)	7881266	7974503	8410818	4354009	3915626	4852109	3123341	3924030	3687983	3395907	9872223	8929315	10904756	2157416	4516456	3578683	3888868	4187304	6602082	6191056	5387402	4901003	3786052	4559704	5741874	5587929	4970128	3836539	4473206	6012667	3677609	4902204	4463337	4218331	5806361	10720267	5841900	6554172	8860235	4447116	4489223	16506671	6376189	6580950	4177320	4248429	4091933	5925910	8768832	7748195	12020417	10263883	6572810	7599098	6287239	3808658	4028537	7925281	8861102	7334102	7060908	10542333	4887590	3870846	7491347	8121301	10027428	5526604	11197704	10046662	9596979	5396877	2613409	3790176	2969606	5858147
cGMP (344.0 / 150.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chenodeoxycholate (391.0 / 74.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Choline (104.1 / 60.0)	56241102	47011320	72124631	49841693	45962427	51287085	45125249	40618264	37213219	42944377	60900057	49834215	73588743	37848365	43433654	42864443	49427047	49949367	46072344	56437430	44376318	52391204	39866113	42884430	50850522	50271824	45987018	41371693	43106428	56821034	47365981	47708106	41258115	52140771	54704002	60973254	52913879	57561127	63608584	46899308	48758507	72548253	54039017	57045852	45733293	45633593	41887882	52421185	60290615	54377506	61872094	68856578	39528759	61049094	43610383	45494130	44834767	52626709	48734927	40548890	46586302	53314122	43179734	39666068	49306197	47400788	50015076	47890206	51883035	58950927	52293663	41402673	35614858	43919040	42441561	51361087
Citraconate (129.0 / 85.0)	200984	155888	294134	218113	187429	165121	140611	173912	142549	185896	213142	177212	353525	154180	215909	216009	164173	128657	137904	199300	216900	202338	146077	220584	128887	127008	262491	136234	125805	167756	143192	173437	153068	173369	178607	191378	193688	176277	156792	111008	211402	338128	150586	183792	203693	99944	264778	200323	163890	149693	145164	349406	129203	188834	119448	174570	141298	153520	151086	119794	203779	203013	84480	151562	162578	129588	175915	124207	165933	184896	165328	110536	130963	137184	136096	137173
Citrate (191.0 / 111.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Citrulline (174.0 / 131.0)	1285948	527475	999335	1448502	1268740	1497083	939516	1303136	1498999	872984	631029	614497	985372	998973	1385182	1210583	1411314	1131938	720049	8698017	2872387	7307062	2793853	2996451	1314643	1268539	1080428	1113644	1224134	4248424	3327914	4375851	3657362	3060468	1939310	1478940	1597070	2948083	4476714	1311915	307290	662092	342368	309380	1191294	1205078	1064121	867467	910609	1491949	446696	469898	623237	320470	927914	1172358	757388	1178927	2094992	2503233	1674631	3682483	965758	1108941	1430776	1132912	2567029	1722861	2835864	2883559	3543259	1014327	1043568	1122944	1095195	1366069
CMP (322.0 / 97.0)	200459	183260	203914	104057	103217	58819	178568	87499	144526	101106	205251	131666	154654	90773	69503	73134	81306	196773	127309	98475	110188	89922	84516	179839	107162	72459	80818	80392	98638	133889	724825	115180	95938	152259	87223	116315	95089	108335	120960	120804	153733	214644	134946	190323	156008	129920	526366	114523	388719	124650	144866	179132	183018	170621	88494	135438	171340	157028	110975	213895	143397	111303	87147	93555	67817	91679	145283	105744	231135	65197	156732	79189	76592	78045	116151	121205
Creatine (132.1 / 90.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Creatinine (114.1 / 44.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cystamine (153.0 / 108.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cystathionine (221.1 / 134.0)	108000	54064	73815	117008	116635	123801	100692	89697	68558	107670	94217	90937	91984	55427	97235	99104	92150	116765	110095	130446	104716	95260	104060	109487	111459	139651	123368	118668	108330	139356	93668	106037	84254	91639	132536	166670	139175	173448	177286	97763	62466	118672	62723	66709	96867	83525	73922	82412	105030	153402	116356	98296	48317	68288	94219	98131	73659	128951	135501	118405	106491	183867	89401	86043	142684	118693	140049	132646	123293	140819	150096	91188	60022	89199	67027	135728
Cysteine (122.0 / 59.0)	47778	7891	35613	71290	25694	33680	19307	62872	50512	27450	20295	10027	27398	42814	46259	30039	54018	37848	29880	135373	61238	57670	43142	81560	64736	29674	45941	46448	55284	112100	54596	75260	51398	95668	46865	69340	61880	87283	85804	30501	8884	12079	16184	10098	16511	22773	8122	22693	15480	48514	9575	13835	5970	20448	6407	14049	11624	28729	106673	89438	50379	131095	22007	32877	25200	23038	132864	83300	104461	68274	93527	9291	15366	36433	15934	27895
Cysteinylglycine (179.1 / 76.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cystine (241.1 / 120.0)	34589	15711	50386	34072	15510	16057	9146	21876	23160	11295	37516	12111	50676	18492	27458	9937	23345	22744	21513	66103	60870	57549	54840	53101	40558	24985	21694	19070	49862	77007	67689	91180	89110	23644	25824	19300	62704	61253	55309	22847	36519	54669	69502	41234	6863	4099	7714	17081	46789	18591	49974	44619	10428	54353	4186	12227	6860	25454	113399	131470	159175	169685	15545	15232	18374	8483	168745	77861	64079	196969	285683	10362	29176	15169	36416	32985
Cytidine (244.0 / 112.1)	298642	39350	51447	363455	329551	469771	284705	385464	290344	347420	41348	35406	58650	335105	392767	353037	428272	481303	258251	62887	75356	73686	40748	60094	340398	380387	306741	328100	358617	90184	57264	68837	46797	58770	360104	516927	443439	522985	362988	427310	50812	68727	51841	56239	405861	385598	296543	228387	208076	462556	71406	69531	17988	69631	253835	350517	255478	378528	253690	58446	76232	109592	349915	275462	321619	318662	116437	287045	136870	111922	112659	229714	215096	267075	261171	347857
Cytosine (112.1 / 95.0)	NA	35599	112414	NA	NA	NA	NA	NA	NA	22778	98681	70237	202167	NA	NA	NA	NA	NA	48174	162898	97241	72957	111193	137290	NA	NA	NA	NA	21972	100074	76820	128810	65253	78041	33713	171571	NA	NA	205784	NA	185433	301466	215162	275627	NA	NA	NA	112816	220929	347900	288170	333494	123721	251730	481249	NA	NA	545252	458453	208315	392445	335484	NA	NA	358805	NA	282880	58366	276098	309377	322435	NA	NA	NA	NA	NA
D-Glyceraldehyde 3-phosphate (168.9 / 97.0)	338048	NA	NA	813948	381922	706011	408857	541378	452119	371387	NA	NA	NA	288546	426139	555895	688555	423029	352850	NA	NA	NA	NA	NA	427042	607197	397631	373305	481957	NA	NA	NA	NA	NA	450728	496496	380612	685008	365528	621068	NA	NA	NA	NA	379429	424705	365508	489293	401991	694080	NA	NA	NA	NA	395203	431916	323726	503604	446544	NA	105098	NA	268044	273404	477481	522807	111441	395884	NA	NA	NA	359734	189620	380528	325542	691104
D-Leucate (131.0 / 85.0)	193878	197171	189993	163664	143334	162610	153376	129372	117343	143145	146585	131432	123752	112636	168740	160025	293978	141405	162641	169464	202125	222169	150282	159668	166817	171832	165016	105116	114284	128804	110106	132406	151412	143932	173318	181226	137973	134458	138870	122335	115883	175155	109294	137819	169814	151954	151526	133131	143382	134302	190112	212265	110469	142857	156162	156755	135977	151339	144399	110540	116838	127032	151014	136050	160606	169469	160853	129212	111784	248085	155323	131604	137831	153084	149616	107993
DCDP (386.0 / 159.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DCMP (306.0 / 110.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Deoxycarnitine (147.1 / 87.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dihydroxyacetone phosphate (168.9 / 78.8)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dimethylglycine (104.1 / 58.0)	299267	134072	208896	267994	292712	388737	290433	244370	236317	276058	179019	159471	284711	199748	296155	263929	313923	301797	257992	261800	242763	331718	205311	243574	329603	302684	299592	306817	318226	275980	190006	265508	189293	203899	337651	452858	332791	492839	443366	291475	80081	272194	150378	111888	312589	271405	296556	224830	227934	364911	145952	183694	48484	108783	269952	308506	188788	342636	356748	264800	210014	385566	293211	280593	383832	345367	328255	338870	374840	369752	365573	305144	180227	262932	237604	380366
Dopamine (152.1 / 122.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DTMP (321.1 / 79.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DUMP (307.0 / 195.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DUTP (467.0 / 159.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Epinephrine/Normetanephrine (184.1 / 166.2)	1629685	665995	1060722	1737659	1472260	2112881	1474155	1500551	1121912	1447005	1260139	873259	1590315	1576888	1662534	1597985	2078071	2031202	1446211	3404341	2991526	3369755	2696019	3140041	4794707	4786202	3654682	3275309	4030693	2513469	1566401	1918172	1159605	1836192	2794781	3832009	2953964	3694572	3843884	2493298	575586	1325290	632042	613309	2339336	2252311	1696872	1856549	1534371	2995833	1002385	1098560	421080	831334	1960534	2153260	1827385	2562809	2928633	2030248	1906943	3205922	2781170	2397654	3773876	3163609	2471289	2292202	2644218	2383864	2419684	1960519	1499535	1923840	1632485	2735703
Erythrose (119.0 / 71.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F16BP/F26BP/G16BP (339.0 / 97.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Folate (440.1 / 311.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fructose (179.0 / 89.0 (3))	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fumarate (115.0 / 71.0)	333200	NA	244321	752482	987360	960602	895670	761595	707205	598807	NA	NA	NA	617403	619067	766618	783231	562012	422027	NA	NA	255222	NA	NA	842712	1004482	878711	517585	462240	255010	239651	NA	NA	346827	1001804	1559860	809618	732653	993170	826703	NA	NA	NA	NA	832392	846980	752424	590877	415933	1071382	NA	NA	NA	NA	778164	774198	683795	714213	433947	NA	NA	NA	579070	475473	808529	901892	188747	571721	272217	NA	NA	822202	314485	433967	428980	875378
G1P/G6P/F6P/F1P (259.0 / 97.0)	23739098	4746438	3211171	21438720	26791444	33049563	29004185	38769280	32191496	31017183	6328340	6863934	4579258	22018109	26630157	30994886	31606824	37103819	25212541	2005361	2260150	2086495	1532329	1787274	36473472	39898115	30799674	38405342	39070142	2275005	1529288	1310282	848053	2418091	33811306	49581432	24233583	35682158	40278594	30975958	1214545	3052536	1207601	2819137	29786531	28500415	25764223	23155504	17048687	43630506	2148463	1755335	1630801	1488850	30546906	23284238	21521831	34433579	14656322	1120279	2043705	1732680	17155839	13267305	32959916	30315826	2253227	19628781	2128449	2055971	1838213	24346192	11883450	15793202	12933503	34118396
Galactose (179.0 / 89.0 (2)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gamma-Aminobutyrate (102.1 / 56.0)	48841	66806	21349	55628	59320	91138	67050	55245	64816	76631	23348	26819	18372	52896	63826	64567	71517	87164	56618	29303	21112	17243	10555	16887	64565	91389	78721	49169	67299	39987	16825	14247	18375	21353	82697	128080	72463	94123	97342	88405	12671	24337	24111	12008	92380	73011	76040	64292	76733	93223	23840	30292	9062	21096	83687	76234	48920	103550	40230	20611	14267	28807	53392	53216	73011	71023	29552	45448	31044	26821	30042	77976	38739	55377	54593	95113
GDP (442.0 / 159.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geranyl-pyrophosphate (313.1 / 79.1)	91868	58075	101290	91963	62581	85753	62046	73524	51860	89796	119747	99552	188168	74999	86362	108471	99724	104953	108744	213710	163822	157736	142176	149281	130446	99637	88797	95531	93515	176798	132195	137349	76172	89431	87509	86301	86655	139001	146281	137388	73040	156750	80087	67858	124028	115875	112740	97479	139463	198164	112526	143269	54502	112679	129595	140952	100962	187225	216316	205142	143862	348157	170123	163730	161865	151780	236846	165096	255811	271604	276343	64761	97567	91893	107923	122493
Gibberellin (345.2 / 144.2)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Glucuronate (193.0 / 73.0)	247899	186997	271187	261250	182031	185897	131081	151981	140062	112000	267206	169039	334011	92819	187000	186310	225592	180290	168372	332195	302465	370945	233432	380457	284603	265138	180789	182278	209841	290143	255040	286387	182331	268415	189456	281612	267559	355649	288077	278802	168116	318615	224494	230728	268472	276253	177307	207609	395453	370028	278881	275171	140561	307195	129254	324394	141772	389644	784022	676530	416805	952298	467859	425398	368530	296267	730420	561732	730213	725477	729444	170769	354864	353876	404512	281619
Glucosamine (180.1 / 162.0)	333455	204035	361912	558193	423959	602024	409052	417645	348000	438990	388780	243681	428581	441426	482357	465663	560691	580177	500978	614115	551563	563377	398422	540892	725844	783089	647018	592705	612702	477597	317081	439212	289806	401198	455331	526428	502764	553432	683369	797841	296034	407546	240327	288807	722410	786161	704923	684219	585975	949721	349148	422153	252034	392588	828838	841794	667194	818213	860814	749798	602050	906721	799935	757053	992496	970091	812213	804750	882317	782333	812960	661525	599932	623715	623305	732629
Glucose (179.0 / 89.0)	52425195	57194266	57008200	37851671	32227914	27732945	22608596	39059121	33426904	22098991	64684628	50149252	67178998	27076193	36576813	36519630	35855694	31818366	39540240	54916434	48604585	46008809	46359971	50633848	33155515	24758327	27115526	26113374	27070600	65303139	43856805	53253208	47686222	45103432	33552697	32065278	37462557	47650961	47136437	31874672	37463429	83889570	51980481	56291603	31410304	30715727	17498133	37780729	67927856	43937975	92027018	72056762	48854525	62586371	19232649	29398858	16756759	47422880	54623587	57941525	51688991	75353199	32890496	29112742	23242700	22023877	69621050	39389970	67228385	67331456	64106819	17993135	25887391	32632255	28931846	20729267
Glutamic acid (148.1 / 84.0)	27659337	25850875	9834359	29346091	32047927	36260090	34300861	29642159	26060254	34043073	14650821	13072211	13047752	27782960	29563687	28030305	34020467	32578530	28692586	11529808	9021229	10364804	7949273	5929782	34849827	38735131	31549345	30220051	30208152	14347608	9660354	10871911	12015676	10978638	34634894	50044418	32101547	36103657	40922039	36172318	5509241	12293268	7520410	9639341	33417042	35164186	34810280	30588133	29519871	40078697	11586717	13369118	4531930	11437170	34745781	30887704	27544811	36435045	22403831	10638954	8449472	17018999	28644462	23604668	37200805	36437182	13811740	23478929	14063375	13484595	15814047	30087844	18382017	25469588	25542381	40884699
Glutamine (147.1 / 84.0)	37262371	9273296	36270852	49179777	60045752	54531857	43614922	54667755	49726497	41312363	16487191	9033209	35835773	31557628	43674346	39334662	42230472	42216210	31711782	15758977	9831692	11911568	8238764	5224756	44536293	46371099	38349222	33843207	38082615	19535635	9757385	10429155	21029120	13624809	43438127	56695784	44051956	51779161	45419729	44227468	10521310	16562695	11551229	12995193	39988737	43707163	38267232	33313539	31666762	54450845	9846275	18916637	3329232	14590039	40105119	42212205	33319952	47363713	33585658	13230593	22794421	24179604	39967642	31706264	49186545	46374402	33034340	35794649	27381991	24924284	20399501	36913618	23901660	30502586	32603640	49370171
Glutarate (131.0 / 87.0)	199451	160948	258438	144244	115323	134747	100520	131216	88317	148297	237228	225238	362613	81816	214626	132966	181261	174872	207528	392113	335197	241453	242105	353840	72451	53142	79869	59323	114092	294385	249574	237061	212066	245984	99002	97798	57618	183144	182668	169421	102524	207503	135969	189403	137149	156457	643040	139926	144916	121227	226506	332928	175952	183859	126226	151780	128102	159226	259139	192677	264034	337706	53189	103030	133236	112333	255795	161853	278846	388884	268518	70447	107487	112488	142423	83629
